Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
118,"All right, y?know what? We really are late! Let?s go! Let?s go! Let?s go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
119,Fine. You?ll-you?ll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
126,"Oh, do you need a hug? You don?t have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I?ll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
129,"That?s great, but shouldn?t you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven?t been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
134,"But um, I don?t think it?s anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
135,This sounds like a hernia. You have to?you-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
136,"No way! ?Kay look, if I have to go to the doctor for anything it?s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
140,Uh that?s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
141,"Oh wow! So, you?re more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
143,"Well, well to sum up, we?re having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
145,But that?s not enough. So? So?here?s a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
148,You don?t think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795"
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214"
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127"
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542"
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012"
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020"
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474"
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109"
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548"
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157"
205,"Yay!! Oh so, you?re not, you?re not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164"
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625"
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378"
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that?s a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
218,"Oh my God! Listen to you talkin? about having kids. Oh my Joey.  Oh, please don?t get married before I do.",Rachel,surprise,positive,20,15,7,7,"00:11:27,228","00:11:37,862"
220,How does she do that?,Monica,surprise,negative,21,0,1,4,"00:01:49,275","00:01:51,485"
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1,1,4,"00:01:51,653","00:01:54,822"
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994"
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3,1,4,"00:02:01,162","00:02:03,622"
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177"
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10,1,4,"00:02:20,682","00:02:24,726"
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1,1,23,"00:09:03,834","00:09:06,169"
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
238,"Are you insane? I mean Joey, is going to kill you, he?s actually going to kill you dead.",Monica,surprise,negative,23,0,3,11,"00:10:13,321","00:10:19,909"
246,"You see you can?t tell which one is which either, dwha!!",Chandler,surprise,negative,23,8,3,11,"00:10:30,588","00:10:44,809"
247,"I don?t know, you thought ?See you Saturday? was funny.",Rachel,neutral,neutral,24,0,3,14,"00:10:40,389","00:10:44,059"
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,neutral,24,1,3,14,"00:10:44,727","00:10:49,397"
252,"Yeah, hey I-I have clothes, I even pick them out.",Ross,neutral,neutral,24,5,3,14,"00:10:58,032","00:11:01,660"
253,"I mean for, for all you know I could be a fashion..... monger.",Ross,neutral,neutral,24,6,3,14,"00:11:01,827","00:11:05,121"
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7,3,14,"00:11:11,379","00:11:15,256"
255,"What should I wear, now I?m all nervous.",Ross,fear,negative,24,8,3,14,"00:11:15,549","00:11:19,969"
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0,4,4,"00:20:36,693","00:20:40,321"
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1,4,4,"00:20:40,572","00:20:44,075"
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2,4,4,"00:20:44,284","00:20:51,916"
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3,4,4,"00:20:52,459","00:20:56,462"
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,Joey,neutral,neutral,25,5,4,4,"00:20:56,713","00:21:00,716"
262,": Ahh, thanks but no. You see I-I think I?m ready to dance with girls.",Mr. Treeger,neutral,neutral,25,6,4,4,"00:21:01,093","00:21:09,350"
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",Mr. Treeger,neutral,neutral,25,10,4,4,"00:21:16,275","00:21:19,860"
268,": Yeah, you could dance real good with her, she?s the same size as me.",Mr. Treeger,neutral,neutral,25,12,4,4,"00:21:22,364","00:21:24,991"
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,negative,26,0,5,18,"00:09:41,414","00:09:44,958"
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,neutral,26,1,5,18,"00:09:45,126","00:09:48,128"
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,positive,26,2,5,18,"00:09:49,046","00:09:51,715"
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,neutral,26,4,5,18,"00:09:55,219","00:10:02,976"
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,"00:10:03,144","00:10:13,403"
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6,5,18,"00:10:15,281","00:10:17,824"
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,neutral,neutral,26,9,5,18,"00:10:20,411","00:10:25,665"
280,So it'll be either you two  or you two.,The Casting Director,neutral,neutral,26,10,5,18,"00:10:25,833","00:10:28,585"
281,"Man, this is gonna be kinda weird.",Joey,sadness,negative,26,11,5,18,"00:10:29,920","00:10:35,508"
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,neutral,neutral,26,13,5,18,"00:10:40,514","00:10:44,142"
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,negative,27,0,5,24,"00:20:18,592","00:20:24,805"
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,joy,positive,27,1,5,24,"00:21:04,763","00:21:11,060"
290,I think you?ve got concussion.,Emily,fear,negative,28,4,4,15,"00:19:30,085","00:19:34,839"
291,"No, no, I?m serious. Thank you.",Ross,joy,positive,28,5,4,15,"00:19:35,007","00:19:37,592"
292,You?re welcome.  I?m sorry. Did I hurt you?,Emily,fear,negative,28,6,4,15,"00:19:38,802","00:19:46,142"
293,"It?s worth the pain.  Y?know what, you know what? It?s not.",Ross,sadness,negative,28,7,4,15,"00:19:47,728","00:19:50,021"
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,Monica,surprise,positive,29,0,9,23,"00:08:23,586","00:08:31,426"
295,"I do! Want a hint? huh? ""I do""  ""I do"".",Chandler,joy,positive,29,1,9,23,"00:08:26,839","00:08:31,426"
296,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",Monica,neutral,neutral,29,2,9,23,"00:08:40,228","00:08:43,188"
300,"Chandler, we have talked about this.",Monica,anger,negative,29,6,9,23,"00:08:54,575","00:08:56,952"
301,You are not supposed to give people advice!,Monica,anger,negative,29,7,9,23,"00:08:57,119","00:08:59,871"
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,anger,negative,29,8,9,23,"00:09:01,541","00:09:04,209"
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,anger,negative,29,10,9,23,"00:09:09,924","00:09:16,555"
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,anger,negative,29,11,9,23,"00:09:16,722","00:09:26,356"
307,"Oh, that's not what you want...",Ross,neutral,neutral,29,13,9,23,"00:30:29,953","00:30:38,126"
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,neutral,neutral,30,0,6,21,"00:04:19,342","00:04:23,262"
309,It-it?s great to meet you Paul.,Ross,joy,positive,30,1,6,21,"00:04:23,429","00:04:25,847"
310,I usually prefer Elizabeth?s boyfriends to address me as Mr. Stevens.,Paul,neutral,neutral,30,2,6,21,"00:04:26,015","00:04:29,476"
312,"So Ross, what your problem?",Paul,anger,negative,30,4,6,21,"00:04:33,189","00:04:37,901"
315,That?s funny. Umm?.  It?s not funny.,Ross,fear,negative,30,7,6,21,"00:04:43,992","00:04:52,374"
318,"I can, I can see that.",Ross,neutral,neutral,30,10,6,21,"0:04:52,844","0:04:55,338"
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,negative,30,11,6,21,"00:04:55,461","00:05:00,799"
322,Okay. I?ll give you one chance to change my mind.  You got one minute.,Paul,anger,negative,30,14,6,21,"00:05:03,594","00:05:09,057"
324,"Oh well, it?s not on TV yet.",Joey,neutral,neutral,31,0,6,22,"00:04:32,563","00:04:35,774"
326,"Okay, fine, I will bring you a tape, huh?",Joey,neutral,neutral,31,2,6,22,"00:04:39,779","00:04:43,865"
327,"So umm, now do you have any of Matt Lauer?s clothes here? Maybe? Just ones that haven?t been cleaned yet?",Phoebe,neutral,neutral,31,3,6,22,"00:04:44,534","00:04:50,372"
329,It?s the big night! We wanted to wish you good luck!,Joey,joy,positive,33,1,6,24,"00:04:01,741","00:04:03,951"
330,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",Phoebe,neutral,neutral,32,1,1,12,"00:11:01,202","00:11:14,005"
331,"Yeah, right here in my pocket.  Pheebs?",Chandler,neutral,neutral,33,3,6,24,"00:04:04,118","00:04:13,085"
332,"Oh, boy scouts could have camped under there.",Phoebe,neutral,neutral,32,3,1,12,"00:11:19,595","00:11:22,097"
333,"Okay, now will you guys get out of here? I want this is to be a surprise and she?s gonna know.",Chandler,neutral,neutral,33,5,6,24,"00:04:15,713","00:04:19,508"
334,Yeah-yeah you guys. Get out of here!,Ross,neutral,neutral,33,6,6,24,"00:04:19,676","00:04:22,302"
337,"Oh, thank you!   What?s going on?",Monica,joy,positive,33,9,6,24,"00:04:37,402","00:04:44,616"
338,We?re just really?very excited about this charity event that we have to go to.,Rachel,neutral,neutral,33,10,6,24,"00:04:39,570","00:04:44,616"
340,You have to tell her!,Ross,joy,positive,32,11,1,12,"00:11:36,779","00:11:39,531"
340,"I'm-I'm really warm, so I'm going to be taking off my sweater.",Rachel,neutral,neutral,34,1,5,23,"00:14:24,321","00:14:28,992"
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",Ross,anger,negative,32,12,1,12,"00:11:36,779","00:11:43,076"
341,"Now, I'm just letting you know that this is",Rachel,neutral,neutral,34,2,5,23,"00:14:29,201","00:14:32,500"
344,"Y'know, last night was embarrassing for you too.",Ross,neutral,neutral,34,5,5,23,"00:14:43,132","00:14:46,259"
347,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",Rachel,neutral,neutral,34,8,5,23,"00:14:48,596","00:14:51,389"
349,"No, I don't! Ross, I think I'm just a more secure person than you are.",Rachel,neutral,neutral,34,10,5,23,"00:14:53,934","00:14:58,521"
352,Hey lady! I don't care how much you want it! Okay?! I am,Ross,disgust,negative,34,13,5,23,"00:15:02,234","00:15:06,029"
356,I never thought I?d be able to do that!,Phoebe,joy,positive,35,3,7,9,"0:21:28,120","0:21:30,342"
358,"Oh hey, don?t thank me, thank yourself. You?re the one who faced her fears and ultimately overcame them.",Ross,joy,positive,35,5,7,9,"00:21:31,456","00:21:37,837"
362,"Hey, both you guys should be up there with me.",Ross,neutral,neutral,36,0,4,22,"00:21:05,681","00:21:08,724"
363,"I mean, you two are-are my? I mean, I?m lucky to have just one good",Ross,neutral,neutral,36,1,4,22,"00:21:08,892","00:21:15,356"
365,I gotta go check something over here.,Joey,neutral,neutral,36,3,4,22,"00:21:20,821","00:21:23,281"
391,"Okay, we have a lot of options here, a number of prototypes for you to try on.",Monica,neutral,neutral,37,0,7,19,"00:15:41,857","00:15:46,694"
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,positive,37,2,7,19,"00:15:49,073","00:15:53,910"
394,And-and-and-and-and the toothpicks?,Joey,disgust,negative,37,3,7,19,"00:15:54,078","00:15:56,871"
398,"Well, I?m gonna go get these  in some water.",Ross,neutral,neutral,38,3,8,2,"0:20:32,522","0:20:34,983"
399,Wait you stole those from these people?s wedding?,Phoebe,surprise,negative,38,4,8,2,"0:20:34,983","0:20:37,385"
400,"No-no, I took them from the hotel lobby.",Ross,neutral,neutral,38,5,8,2,"00:20:37,611","00:20:41,989"
401,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",Ross,anger,negative,38,6,8,2,"00:20:37,611","00:20:45,743"
404,I?ve been looking for this for like a month!,Ross,surprise,positive,38,9,8,2,"00:20:54,002","00:20:57,004"
407,Happy?! Is that what I?m supposed to be Vic? Happy?,Kate,anger,negative,39,0,3,19,"00:11:00,868","00:11:03,912"
410,Because I sure as hell can?t figure it out!,Joey,anger,negative,39,3,3,19,"00:11:08,376","00:11:10,835"
411,I talk to you and nothin?.,Joey,anger,negative,39,4,3,19,"00:11:11,003","00:11:13,421"
414,"Tasty! I?m really starting to feel like you guys have a history, it?s-it?s nice.",The Director,joy,positive,39,7,3,19,"00:11:23,057","00:11:30,021"
417,"Well, I don?t understand why Adrienne?s attracted to Victor.",Kate,disgust,negative,39,10,3,19,"00:11:32,692","00:11:37,112"
418,"Peel the onion. First of all, he?s good looking.",The Director,neutral,neutral,39,11,3,19,"00:11:37,279","00:11:43,743"
420,I think my character?s gonna need a little bit more of reason than that.,Kate,neutral,neutral,39,13,3,19,"00:11:43,911","00:11:46,955"
421,"Oh, hey, how about this one.",Joey,neutral,neutral,39,14,3,19,"00:11:47,123","00:11:50,375"
422,"Ah, it?s says so in the script!",Joey,anger,negative,39,15,3,19,"00:11:47,123","00:11:59,467"
423,"Y'know ah, I-I don?t know why my character likes you either, I mean it says in the script here that you?re a bitch.",Joey,anger,negative,39,16,3,19,"00:11:53,295","00:12:02,929"
424,It doesn?t say that in the script.,Kate,anger,negative,39,17,3,19,"0:12:00,177","0:12:02,529"
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,Joey,anger,negative,40,1,8,4,"00:04:40,405","00:04:43,532"
430,Do you still wanna call ?em? I wanna call ?em.,Monica,neutral,neutral,40,4,8,4,"0:04:52,417","0:04:54,879"
432,Yeah! Ask them if they brought their friends any souvenirs!,Joey,joy,positive,40,6,8,4,"00:04:55,169","00:04:57,421"
434,"Hey, hang up! You get food poisoning just talkin? to that place.",Joey,disgust,negative,40,8,8,4,"00:05:06,681","00:05:10,726"
437,Hello?   It?s the deli again!,Monica,surprise,negative,40,11,8,4,"00:05:16,566","00:05:19,609"
441,"Gotta go. I miss you too, I love you, but it's getting real late now",Mr. Tribbiani,sadness,negative,41,0,1,13,"00:04:41,281","00:04:49,162"
442,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",Joey,surprise,negative,41,1,1,13,"00:04:45,493","00:04:56,503"
443,Her name's Ronni. She's a pet mortician.,Mr. Tribbiani,neutral,neutral,41,2,1,13,"00:05:05,680","00:05:09,891"
444,Sure. So how long you been...,Joey,neutral,neutral,41,3,1,13,"00:05:14,147","00:05:18,358"
445,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",Mr. Tribbiani,neutral,neutral,41,4,1,13,"00:05:20,486","00:05:28,994"
447,"No, it's only been six years.",Mr. Tribbiani,neutral,neutral,41,6,1,13,"0:05:26,076","0:05:29,058"
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,Mr. Tribbiani,neutral,neutral,41,7,1,13,"00:05:29,203","00:05:34,333"
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,neutral,41,11,1,13,"0:05:44,844","0:05:47,514"
454,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",Mr. Tribbiani,neutral,neutral,41,13,1,13,"00:05:50,433","00:05:58,648"
455,Oh man. Please tell me one of 'em is Ma.,Joey,disgust,negative,41,14,1,13,"00:05:55,605","00:05:58,648"
456,"Of course, course one of 'em's Ma. What's the matter with you.",Mr. Tribbiani,surprise,negative,41,15,1,13,"00:05:58,900","00:06:01,818"
457,"Everything?s gonna be all right. Okay, Dick?",Chandler,neutral,neutral,42,0,3,23,"00:21:57,691","00:22:03,237"
458,"Hello, I am Guru Saj--Whoa!!  That?s supposed to be a duck right? ?Cause otherwise, this is waaay out of my league.",Guru Saj,surprise,negative,42,1,3,23,"00:22:05,907","00:22:13,456"
459,"Hey, Rach, how was work?",Monica,neutral,neutral,43,0,3,19,"00:21:33,917","00:21:37,211"
460,"Oh, great. Although I did sit down where there wasn?t a chair.",Rachel,neutral,neutral,43,1,3,19,"00:21:35,752","00:21:40,381"
